vi	en
quá trưa, chiều, tối	p.m.
túi (quần áo, trong xe hơi), túi tiền	pocket
bài thơ	poem
thi ca; chất thơ	poetry
point mũi nhọn, điểm; vót, làm nhọn, chấm (câu..)	point
nhọn, có đầu nhọn	pointed
chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc	poison
độc, có chất độc, gây chết, bệnh	poisonous
người Ba Lan; cực (nam châm, trái đất...)	pole
cảnh sát, công an	police
chính sách	policy
nước bóng, nước láng; đánh bóng, làm cho láng	polish
lễ phép, lịch sự	polite
lễ phép, lịch sự	politely
về chính trị, về chính phủ, có tính chính trị	political
về mặt chính trị; khôn ngoan, thận trọng; sảo quyệt	politically
nhà chính trị, chính khách	politician
họat động chính trị, đời sống chính trị, quan điểm chính trị	politics
sự ô nhiễm	pollution
vũng nước; bể bơi, hồ bơi	pool
nghèo	poor
tiếp bốp, phong cách dân gian hiện đại; nổ bốp	pop
có tính đại chúng, (thuộc) nhân dân; được nhiều người ưa chuộng	popular
dân cư, dân số; mật độ dân số	population
cảng	port
đưa ra, đề ra, đặt; sự đặt, đề ra	pose
vị trí, chỗ	position
xác thực, rõ ràng, tích cực, lạc quan	positive
có, chiếm hữu	possess
quyền sở hữu, vật sở hữu	possession
khă năng, triển vọng	possibility
có thể, có thể thực hiện	possible
có lẽ, có thể, có thể chấp nhận được	possibly
thư, bưu kiện; gửi thư	post
bưu điện	post
can, bình, lọ...	pot
khoai tây	potato
tiềm năng; khả năng, tiềm lực	potential
tiềm năng, tiềm ẩn	potentially
pao - đơn vị đo lường	pound
rót, đổ, giội	pour
bột, bụi	powder
khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực	power
hùng mạnh, hùng cường	powerful
thực hành; thực tế	practical
về mặt thực hành; thực tế	practically
thực hành, thực tiễn	practice
thực hành, tập luyện	practise
sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương	praise
sự cầu nguyện	prayer
rõ ràng, chính xác; tỉ mỉ, kỹ tính	precise
đúng, chính xác, cần thận	precisely
báo trước, tiên đoán, dự báo	predict
thích hơn	prefer
sự thích hơn, sự ưa hơn; cái được ưa thích hơn	preference
mang thai; giàu trí tưởng tượng, sáng tạo	pregnant
biệt thự	premises
sự sửa soạn, sự chuẩn bị	preparation
sửa soạn, chuẩn bị	prepare
đã được chuẩn bị	prepared
sự hiện diện, sự có mặt; người, vât hiện diện	presence
and /(n)'prezәnt/ có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày	present
bài thuyết trình, sự trình diện, sự giới thiệu	presentation
bảo quản, giữ gìn	preserve
hiệu trưởng, chủ tịnh, tổng thống	president
sự ép, sự nén, sự ấn; ép, nén, bóp, ấn	press
sức ép, áp lực, áp suất	pressure
có thể được, có lẽ	presumably
giả vờ, giả bộ, làm ra vẻ	pretend
khá, vừa phải; xinh, xinh xắn;, đẹp	pretty
ngăn cản, ngăn chặn, ngăn ngừa	prevent
vội vàng, hấp tấp; trước (vd. ngày hôm trước), ưu tiên	previous
trước, trước đây	previously
giá	price
sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ	pride
linh mục, thầy tu	priest
nguyên thủy, đầu tiên; thời cổ đại, nguyên sinh; sơ cấp, tiểu học	primary
trước hết, đầu tiên	primarily
thủ tướng	prime
hoành tử	prince
công chúa	princess
cơ bản, chủ yếu; nguyên lý, nguyên tắc	principle
in, xuất bản; sự in ra	print
sự in, thuật in, kỹ sảo in	printing
máy in, thợ in	printer
trước, ưu tiên	prior
sự ưu tế, quyền ưu tiên	priority
nhà tù	prison
tù nhân	prisoner
cá nhân, riêng	private
riêng tư, cá nhân	privately
giải, giải thưởng	prize
có thể, có khả năng	probable
hầu như chắc chắn	probably
vấn đề, điều khó giải quyết	problem
thủ tục	procedure
tiến lên, theo duổi, tiếp diễn	proceed
quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý	process
sản xuất, chế tạo	produce
nhà sản xuất	producer
sản phẩm	product
sự sản xuất, chế tạo	production
nghề, nghề nghiệp	profession
(thuộc) nghề, nghề nghiệp; chuyên nghiệp	professional
giáo sư, giảng viên	professor
thuận lợi, lợi ích, lợi nhuận	profit
chương trình; lên chương trình	program
chương trình	programme
sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển	progress
đề án, dự án, kế hoạch; dự kiến, kế hoạch	project
hứa, lời hứa	promise
thăng chức, thăng cấp	promote
sự thăng chức, sự thăng cấp	promotion
mau lẹ, nhanh chóng; xúi, giục, nhắc nhở	prompt
mau lẹ, ngay lập tức	promptly
tuyên bố, thông báo, phát âm	pronounce
sự phát âm	pronunciation
chứng, chứng cớ, bằng chứng; sự kiểm chứng	proof
đúng, thích đáng, thích hợp	proper
một cách đúng đắn, một cách thích đáng	properly
tài sản, của cải; đất đai, nhà cửa, bất động sản	property
sự cân xứng, sự cân đối	proportion
sự đề nghị, đề xuất	proposal
đề nghị, đề xuất, đưa ra	propose
viễn cảnh, toàn cảnh; triển vọng, mong chờ	prospect
bảo vệ, che chở	protect
sự bảo vệ, sự che chở	protection
sự phản đối, sự phản kháng; phản đối, phản kháng	protest
tự hào, kiêu hãnh	proud
một cách tự hào, một cách hãnh diện	proudly
chứng tỏ, chứng minh	prove
chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp	provide
với điều kiện là, miễn là	provided
panh (= 0, 58 lít (E);=0, 473 lít (A));	pint
= publicyhouse quán rượu, tiệm rượu	pub
chung, công cộng; công chúng, nhân dân	public
công khai, công cộng	publicly
sự công bố; sự xuất bản	publication
sự công khai, sự quảng cáo	publicity
công bố, ban bố; xuất bản	publish
công việc, nghề xuất bản	publishing
lôi, kéo, giật; sự lôi kéo, sự giật	pull
đấm, thụi; quả đấm, cú thụi	punch
phạt, trừng phạt	punish
sự trừng phạt, sự trừng trị	punishment
học sinh	pupil
sự mua, sự tậu; mua, sắm, tậu	purchase
nguyên chất, tinh khiết, trong lành	pure
hoàn toàn, chỉ là	purely
tía, có màu tía; màu tía	purple
mục đích, ý định	purpose
đuổi theo, đuổi bắt	pursue
xô đẩy; sự xô đẩy	push
đặt, để, cho vào	put
phẩm chất, năng lực; khả năng chuyên môn	qualification
đủ khả năng, đủ tư cách, điều kiện	qualify
đủ tư cách, điều kiện, khả năng	qualified
chất lượng, phẩm chất	quality
lượng, số lượng	quantity
1/4, 15 phút	quarter
nữ hoàng	queen
câu hỏi; hỏi, chất vấn	question
nhanh	quick
nhanh	quickly
lặng, yên lặng, yên tĩnh	quiet
lặng, yên lặng, yên tĩnh	quietly
thoát, thoát ra	quit
hoàn toàn, hầu hết	quite
trích dẫn	quote
loài, chủng, giống; cuộc đua; đua	race
cuộc đua	racing
sóng vô tuyến, radio	radio
đường ray	rail
đường sắt	railway
mưa, cơn mưa; mưa	rain
nâng lên, đưa lên, ngẩng lên	raise
dãy, hàng, loại; phạm vi, trình độ	range
hàng, dãy; sắp xếp thành hàng, dãy	rank
nhanh, nhanh chóng	rapid
nhanh, nhanh chóng	rapidly
hiếm, ít	rare
hiếm khi, ít khi	rarely
tỷ lệ, tốc độ	rate
thà.. còn hơn, thích... hơn	rather
sống (# chín), thô, còn nguyên chất	raw
đến, đi đến, tới	reach
tác động trở lại, phản ứng	react
sự phản ứng; sự phản tác dụng	reaction
đọc	read
sự đọc	reading
người đọc, độc giả	reader
sẵn sàng	ready
thực, thực tế, có thật	real
thực, thực ra, thực sự	really
hiện thực	realistic
sự thật, thực tế, thực tại	reality
thực hiện, thực hành	realize
phía sau; ở đằng sau, ở đằng sau	rear
lý do, lý lẽ	reason
có lý, hợp lý	reasonable
hợp lý	reasonably
vô lý	unreasonable
gọi về, triệu hồi; nhặc lại, gợi lại	recall
công thức; đơn thuốc	receipt
nhận, lĩnh, thu	receive
gần đây, mới đây	recent
gần đây, mới đây	recently
sự nhận, sự tiếp nhận, sự đón tiếp	reception
tính, đếm	reckon
sự công nhận, sự thừa nhận	recognition
nhận ra, nhận diện; công nhận, thừa nhận	recognize
giới thiệu, tiến cử; đề nghị, khuyên bảo	recommend
bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép	record
sự ghi, sự thu âm	recording
lấy lại, giành lại	recover
đỏ; màu đỏ	red
giảm, giảm bớt	reduce
sự giảm giá, sự hạ giá	reduction
xem, tham khảo; ám chỉ, nhắc đến	refer
sự tham khảo, hỏi ýe kiến	reference
phản chiếu, phản hồi, phản ánh	reflect
cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo	reform
tủ lạnh	refrigerator
sự từ chối, sự khước từ	refusal
từ chối, khước từ	refuse
nhìn, đánh giá; cái nhìn, sự quan tâm, sự chú ý (lời chúc tụng cuối thư)	regard
về, về việc, đối với (vấn đề...)	regarding
vùng, miền	region
vùng, địa phương	regional
đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi	register
đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc	regret
thường xuyên, đều đặn	regular
đều đặn, thường xuyên	regularly
sự điều chỉnh, điều lệ, quy tắc	regulation
không chấp nhận, loại bỏ, bác bỏ	reject
kể lại, thuật lại; liên hệ, liên quan	relate
có liên quan, có quan hệ với ai, cái gì	related
mối quan hệ, sự liên quan, liên lạc	relation
mối quan hệ, mối liên lạc	relationship
có liên quan đến; người có họ, đại từ quan hệ	relative
có liên quan, có quan hệ	relatively
giải trí, nghỉ ngơi	relax
thanh thản, thoải mái	relaxed
làm giảm, bớt căng thẳng	relaxing
làm nhẹ, bớt, thả, phóng thích, phát hành; sự giải thoát, thoát khỏi, sự thả, phóng thích, sự phát hành	release
thích hợp, có liên quan	relevant
sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấo; sự đền bù	relief
tôn giáo	religion
(thuộc) tôn giáo	religious
tin vào, tin cậy, tin tưởng vào	rely
còn lại, vẫn còn như cũ	remain
còn lại	remaining
đồ thừa, cái còn lại	remains
sự nhận xét, phê bình, sự để ý, chú ý; nhận xét, phê bình, để ý, chú ý	remark
đáng chú ý, đáng để ý; khác thường	remarkable
đáng chú ý, đáng để ý; khác thường	remarkably
nhớ, nhớ lại	remember
nhắc nhở, gợi nhớ	remind
xa, xa xôi, xa cách	remote
viêc di chuyển, việc dọn nhà, dời đi	removal
dời đi, di chuyển	remove
sự thuê mướn; cho thuê, thuê	rent
được thuê, được mướn	rented
sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu	repair
/ri'pi:t/ nhắc lại, lặp lại	repeat
được nhắc lại, được lặp lại	repeated
lặp đi lặp lại nhiều lần	repeatedly
thay thế	replace
sự trả lời, sự hồi âm; trả lời, hồi âm	reply
báo cáo, tường trình; bản báo cáo, bản tường trình	report
miêu tả, hình dung; đại diện, thay mặt	represent
điều tiêu biểu, tượng trưng, mẫu; miêu tả, biểu hiện, đại diện, tượng trưng	representative
tái sản xuất	reproduce
sự nổi tiếng, nổi danh	reputation
lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu, đề nghị, yêu cầu	request
đòi hỏi, yêu cầu, quy định	require
nhu cầu, sự đòi hỏi; luật lệ, thủ tục	requirement
giải thoát, cứu nguy; sự giải thoát, sự cứu nguy	rescue
sự nghiên cứu	research
sự hạn chế, điều kiện hạn chế	reservation
dự trữ, để dành, đặt trước, đăng ký trước; sự dự trữ, sự để dành, sự đặt trước, sự đăng ký trước	reserve
người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú	resident
chống lại, phản đổi, kháng cự	resist
sự chống lại, sự phản đối, sự kháng cự	resistance
quyết định, kiên quyết (làm gì); giải quyết (vấn đề, khó khăn..)	resolve
kế sách, phương kế	resort
tài nguyên; kế sách, thủ đoạn	resource
sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục	respect
hưởng ứng, phản ứng lại, trả lời	respond
sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại	response
trách nhiệm, sự chịu trách nhiệm	responsibility
chịu trách nhiệm về, chịu trách nhiệm trước ai, gì	responsible
sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi	rest
nhà hàng ăn, hiệu ăn	restaurant
hoàn lại, trả lại; sửa chữa lại, phục hồi lại	restore
hạn chế, giới hạn	restrict
bị hạn chế, có giới hạn; vùng cấm	restricted
sự hạn chế, sự giới hạn	restriction
kết quả; bởi, do.. mà ra, kết quả là...	result
giữ lại, nhớ được	retain
rời bỏ, rút về; thôi, nghỉ việc, về hưu	retire
ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc	retired
sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc	retirement
trở lại, trở về; sự trở lại, sự trở về	return
bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá	reveal
đảo, ngược lại; điều trái ngược, mặt trái	reverse
sự xem lại, sự xét lại; làm lại, xem xét lại	review
đọc lại, xem lại, sửa lại, ôn lại	revise
sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại	revision
cuộc cách mạng	revolution
sự thưởng, phần thưởng; thưởng, thưởng công	reward
nhịp điệu	rhythm
gạo, thóc, cơm; cây lúa	rice
giàu, giàu có	rich
giải thoát (get rid of : tống khứ)	rid
đi, cưỡi (ngựa); sự đi, đường đi	ride
môn thể thao cưỡi ngựa, sự đi xe (bus, điện, xe đạp)	riding
người cưỡi ngựa, người đi xe đạp	rider
buồn cười, lố bịch, lố lăng	ridiculous
thẳng, phải, tốt; ngay, đúng; điều thiện, điều phải, tốt, bên phải	right
đúng, phải, có lý	rightly
chiếc nhẫn, đeo nhẫn cho ai	ring
sự lên, sự tăng lương, thăng cấp; dậy, đứng lên, mọc (mặt trời), thành đạt	rise
sự liều, mạo hiểm; liều	risk
đối thủ, địch thủ; đối địch, cạnh tranh	rival
sông	river
con đường, đường phố	road
cướp, lấy trộm	rob
đá	rock
vai (diễn), vai trò	role
cuốn, cuộn, sự lăn tròn; lăn, cuốn, quấn, cuộn	roll
lãng mạn	romantic
mái nhà, nóc	roof
phòng, buồng	room
gốc, rễ	root
dây cáp, dây thừng, xâu, chuỗi	rope
gồ ghề, lởm chởm	rough
gồ ghề, lởm chởm	roughly
tròn, vòng quanh, xung quanh	round
bị làm thành tròn; phát triển đầy đủ	rounded
đường đi, lộ trình, tuyến đường	route
thói thường, lệ thường, thủ tục; thường lệ, thông thường	routine
hàng, dãy	row
(thuộc) vua, nữ hoàng, hoàng gia	royal
cọ xát, xoa bóp, nghiền, tán	rub
cao su	rubber
vật vô giá trị, bỏ đi, rác rưởi	rubbish
bất lịch sự, thô lỗ; thô sơ, đơn giản	rude
bất lịch sự, thô lỗ; thô sơ, đơn giản	rudely
làm hỏng, làm đổ nát, làm phá sản; sự hỏng, sự đổ nát, sự phá sản	ruin
bị hỏng, bị đổ nát, bị phá sản	ruined
quy tắc, điều lệ, luật lệ; cai trị, chỉ huy, điều khiển	rule
người cai trị, người trị vì; thước kẻ	ruler
tin đồn, lời đồn	rumour
chạy; sự chạy	run
sự chạy, cuộc chạy đua	running
người chạy	runner
(thuộc) nông thôn, vùng nông thôn	rural
xông lên, lao vào, xô đẩy; sự xông lên, sự lao vào, sự xô đẩy	rush
bào tải; đóng bao, bỏ vào bao	sack
buồn, buồn bã	sad
một cách buồn bã, đáng buồn là, không may mà	sadly
sự buồn rầu, sự buồn bã	sadness
an toàn, chắc chắn, đáng tin	safe
an toàn, chắc chắn, đáng tin	safely
sự an toàn, sự chắc chăn	safety
đi tàu, thuyền, nhổ neo; buồm, cánh buồm, chuyến đi bằng thuyền buồm	sail
sự đi thuyền	sailing
thủy thủ	sailor
sa lát (xà lách trộng dầu dấm); rau sống	salad
tiền lương	salary
việc bán hàng	sale
muối	salt
chứ vị muối, có muối, mặn	salty
đều đều, đơn điệu; cũng như thế, vẫn cái đó	same
mẫu, hàng mẫu	sample
cát	sand
sự làm cho thỏa mãn, toại nguyện; sự trả nợ, bồi thường	satisfaction
làm thỏa mãn, hài lòng; trả (nợ), chuộc tội	satisfy
cảm thấy hài lòng, vừa ý, thoả mãn	satisfied
đem lại sự thỏa mãn, làm thỏa mãn, làm vừa ý	satisfying
thứ 7	Saturday
nước xốt, nước chấm	sauce
cứu, lưu	save
sự cứu, sự tiết kiệm	saving
nói	say
vảy (cá..)	scale
làm kinh hãi, sợ hãi, dọa; sự sợ hãi, sự kinh hoàng	scare
bị hoảng sợ, bị sợ hãi	scared
cảnh, phong cảnh	scene
kế hoạch làm việc, bản liệt kê; lên thời khóa biểu, lên kế hoạch	schedule
sự sắp xếp, sự phối hợp; kế hoạch thực hiện; lược đồ, sơ đồ	scheme
đàn cá, bầy cá	school
khoa học, khoa học tự nhiên	science
(thuộc) khoa học, có tính khoa học	scientific
nhà khoa học	scientist
cái kéo	scissors
điểm số, bản thắng, tỷ số; đạt được, thành công, cho điểm	score
cào, làm xước da; sự cào, sự trầy xước da	scratch
gào thét, kêu lên; tiếng thét, tiếng kêu to	scream
màn che, màn ảnh, màn hình; phim ảnh nói chung	screen
đinh vít, đinh ốc; bắt vít, bắt ốc	screw
biển	sea
hải cẩu; săn hải cẩu	seal
sự tìm kiếm, sự thăm dò, sự điều tra; tìm kiếm, thăm dò, điều tra	search
mùa	season
ghế, chỗ ngồi	seat
thứ hai, ở vị trí thứ 2, thứ nhì; người về nhì	second
trung học, thứ yếu	secondary
bí mật; điều bí mật	secret
bí mật, riêng tư	secretly
thư ký	secretary
mục, phần	section
khu vực, lĩnh vực	sector
chắc chắn, đảm bảo; bảo đảm, giữ an ninh	secure
sự an toàn, sự an ninh	security
nhìn, nhìn thấy, quan sát	see
hạt, hạt giống	seed
tìm, tìm kiếm, theo đuổi	seek
có vẻ như, dường như	seem
chọn lựa, chọn lọc	select
sự lựa chọn, sự chọc lọc	selection
bản thân mình	self
bán	sell
thượng nghi viện, ban giám hiệu	senate
thượng nghị sĩ	senator
gửi, phái đi	send
nhiều tuổi hơn, dành cho trẻ em trên 11t; người lớn tuổi hơn, sinh viên năm cuối trường trung học, cao đẳng	senior
giác quan, tri giác, cảm giác	sense
có óc xét đoán; hiểu, nhận biết được	sensible
dễ bị thương, dễ bị hỏng; dễ bị xúc phạm	sensitive
câu	sentence
khác nhau, riêng biệt; làm rời, tách ra, chia tay	separate
ly thân	separated
không cùng nhau, thành người riêng, vật riêng	separately
sự chia cắt, phân ly, sự chia tay, ly thân	separation
tháng 9	September
loạt, dãy, chuỗi	series
đứng đắn, nghiêm trang	serious
đứng đắn, nghiêm trang	seriously
người hầu, đầy tớ	servant
phục vụ, phụng sự	serve
sự phục vụ, sự hầu hạ	service
buổi họp, phiên họp, buổi, phiên	session
bộ, bọn, đám, lũ; đặt để, bố trí	set
giải quyết, dàn xếp, hòa giải, đặt, bố trí	settle
vài	several
khắt khe, gay gắt (thái độ, cư xử); giản dị, mộc mạc (kiểu cách, trang phục, dung nhan)	severe
khắt khe, gay gắt (thái độ, cư xử); giản dị, mộc mạc (kiểu cách, trang phục, dung nhan)	severely
may, khâu	sew
sự khâu, sự may vá	sewing
giới, giống	sex
giới tính, các vấn đề sinh lý	sexual
giới tính, các vấn đề sinh lý	sexually
bóng, bóng tối	shade
bóng, bóng tối, bóng râm, bóng mát	shadow
rung, lắc, giũ; sự rung, sự lắc, sự giũ	shake
dự đoán tương lai: sẽ	shall
nông, cạn	shallow
sự xấu hổ, thẹn thùng, sự ngượng	shame
hình, hình dạng, hình thù	shape
có hình dáng được chỉ rõ	shaped
đóng góp, tham gia, chia sẻ; phần đóng góp, phần tham gia, phần chia sẻ	share
sắc, nhọn, bén	sharp
sắc, nhọn, bén	sharply
cạo (râu), bào, đẽo (gỗ)	shave
nó, bà ấy, chị ấy, cô ấy...	she
con cừu	sheep
chăn, khăn trải giường; lá, tấm, phiến, tờ	sheet
kệ, ngăn, giá	shelf
vỏ, mai; vẻ bề ngoài	shell
sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ	shelter
đổi chỗ, dời chỗ, chuyển, giao; sự thay đổi, sự luân phiên	shift
chiếu sáng, tỏa sáng	shine
sáng chói, bóng	shiny
tàu, tàu thủy	ship
áo sơ mi	shirt
sự đụng chạm, va chạm, sự kích động, sự choáng; chạm mạnh, va mạnh, gây sốc	shock
gây ra căm phẫn, tồi tệ, gây kích động	shocking
bị kích động, bị va chạm, bị sốc	shocked
giày	shoe
vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra	shoot
sự bắn, sự phóng đi	shooting
cửa hàng; đi mua hầng, đi chợ	shop
sự mua sắm	shopping
ngắn, cụt	short
trong thời gian ngắn, sớm	shortly
đạn, viên đạn	shot
nên	should
vai	shoulder
hò hét, reo hò; sự la hét, sự hò reo	shout
biểu diễn, trưng bày; sự biểu diễn, sự bày tỏ	show
vòi hoa sen, sự tắm vòi hoa sen	shower
đóng, khép, đậy; tính khép kín	shut
nhút nhát, e thẹn	shy
ốm, đau, bệnh	sick
mặt, mặt phẳng	side
ngang, từ một bên; sang bên	sideways
cảnh đẹp; sự nhìn	sight
dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu	sign
dấu hiệu, tín hiệu; ra hiệu, báo hiệu	signal
chữ ký	signature
nhiều ý nghĩa, quan trọng	significant
đáng kể	significantly
sự im lặng, sự yên tĩnh	silence
im lặng, yên tĩnh	silent
tơ (t.n+n.tạo), chỉ, lụa	silk
ngớ ngẩn, ngu ngốc, khờ dại	silly
bạc, đồng bạc; làm bằng bạc, trắng như bạc	silver
giống như, tương tự như	similar
tương tự, giống nhau	similarly
đơn, đơn giản, dễ dàng	simple
một cách dễ dàng, giản dị	simply
từ, từ khi; từ khi, từ lúc đó; từ đó, từ lúc ấy	since
thật thà, thẳng thắng, chân thành	sincere
một cách chân thành	sincerely
(viết ở cuối thư)	Yours
hát, ca hát	sing
sự hát, tiếng hát	singing
ca sĩ	singer
đơn, đơn độc, đơn lẻ	single
chìm, lún, đắm	sink
xưng hô lịch sự Ngài, Ông	sir
chị, em gái	sister
ngồi	sit
chỗ, vị trí	site
hoàn cảnh, địa thế, vị trí	situation
cỡ	size
đã được định cỡ	-sized
tài giỏi, khéo tay	skilful
tài giỏi, khéo tay	skilfully
kỹ năng, kỹ sảo	skill
có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm,, lành nghề	skilled
da, vỏ	skin
váy, đầm	skirt
trời, bầu trời	sky
ngủ; giấc ngủ	sleep
tay áo, ống tay	sleeve
miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng	slice
trượtc, chuyển động nhẹ, lướt qua	slide
mỏng manh, thon, gầy	slight
mảnh khảnh, mỏng manh, yếu ớt	slightly
trượt, tuột, trôi qua, chạy qua	slip
dốc, đường dốc, độ dốc; nghiêng, dốc	slope
chậm, chậm chạp	slow
một cách chậm chạp, chậm dần	slowly
nhỏ, bé	small
mạnh, ác liệt	smart
đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh	smash
ngửi; sự ngửi, khứu giác	smell
cười, mỉm cười; nụ cười, vẻ tươi cười	smile
khói, hơi thuốc; hút thuốc, bốc khói, hơi	smoke
sự hút thuốc	smoking
nhẵn, trơn, mượt mà	smooth
một cách êm ả, trôi chảy	smoothly
con rắn; người nham hiểm, xảo trá	snake
tuyết; tuyết rơi	snow
như vậy, như thế; vì thế, vì vậy, vì thế cho nên	so
xà phòng	soap
có tính xã hội	social
có tính xã hội	socially
xã hội	society
tất ngăns, miếng lót giày	sock
mềm, dẻo	soft
một cách mềm dẻo	softly
phần mềm (m.tính)	software
đất trồng; vết bẩn	soil
lính, quân nhân	soldier
rắn; thể rắn, chất rắnh	solid
sự giải quyết, giải pháp	solution
giải, giải thích, giải quyết	solve
or /səm/ một it, một vài	some
người nào đó	somebody
không biết làm sao, bằng cách này hay cách khác	somehow
một điều gì đó, một việc gì đó, một cái gì đó	something
thỉnh thoảng, đôi khi	sometimes
đến mức độ nào đó, hơi, một chút	somewhat
nơi nào đó. đâu đó	somewhere
con trai	son
bài hát	song
sớm, chẳng bao lâu nữa	soon
đau, nhức	sore
xin lỗi, lấy làm tiếc, lấy làm buồn	sorry
thứ, hạng loại; lựa chọn, sắp xếp, phân loại	sort
tâm hồn, tâm trí, linh hồn	soul
âm thanh; nghe	sound
xúp, canh, cháo	soup
chua, có vị giấm	sour
nguồn	source
phương Nam, hướng Nam; ở phía Nam; hướng về phía Nam	south
thuộc phương Nam	southern
khoảng trống, khoảng cách	space
thừa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng	spare
nói	speak
nói theo 1 cách nào đó	spoken
người nói, người diễn thuyết	speaker
đặc biệt, riêng biệt	special
đặc biệt, riêng biệt	specially
chuyên gia, chuyên viên	specialist
đặc trưng, riêng biệt	specific
đặc trưng, riêng biệt	specifically
sự nói, khả năng nói, lời nói, cách nói, bài nói	speech
tốc độ, vận tốc	speed
đánh vần; sự thu hút, sự quyến rũ, say mê	spell
sự viết chính tả	spelling
tiêu, xài	spend
gia vị	spice
có gia vị	spicy
con nhện	spider
quay, quay tròn	spin
tinh thần, tâm hồn, linh hồn	spirit
(thuộc) tinh thần, linh hồn	spiritual
sự giận, sự hận thù; in spite of : mặc dù, bất chấp	spite
chẻ, tách, chia ra; sự chẻ, sự tách, sự chia ra	split
cướp, cướp đọat	spoil
cái thìa	spoon
thể thao	sport
dấu, đốm, vết	spot
máy, ống, bình phụt, bơm, phun; bơm, phun, xịt	spray
trải, căng ra, bày ra; truyền bá	spread
mùa xuân	spring
vuông, vuông vắn; dạng hình vuông, hình vuông	square
ép, vắt, xiết; sự ép, sự vắt, sự xiết	squeeze
ổn định, bình tĩnh, vững vàng; chuồng ngưa	stable
gậy	staff
tầng, bệ	stage
bậc thang	stair
tem; dán tem	stamp
đứng, sự đứng	stand
tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn	standard
ngôi sao, dán sao, trang trí hình sao, đánh dấu sao	star
nhìm chằm chằm; sự nhìn chằm chằm	stare
bắt đầu, khởi động; sự bắt đầu, sự khởi đầu, khởi hành	start
nhà nước, quốc gia, chính quyền; (thuộc) nhà nước, có liên quan đến nhà nước; phát biểu, tuyên bố	state
sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày	statement
trạm, điểm, đồn	station
tượng	statue
tình trạng	status
ở lại, lưu lại; sự ở lại, sự lưu lại	stay
vững chắc, vững vàng, kiến định	steady
vững chắc, vững vàng, kiên định	steadily
không chắc, không ổn định	unsteady
ăn cắp, ăn trộm	steal
hơi nước	steam
thép, ngành thép	steel
dốc, dốc đứng	steep
dốc, cheo leo	steeply
lái (tàu, ô tô...)	steer
bước; bước, bước đi	step
đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán	stick
dính, nhớt	sticky
cứng, cứng rắn, kiên quyết	stiff
cứng, cứng rắn, kiên quyết	stiffly
đứng yên; vẫn, vẫn còn	still
châm, chích, đốt; ngòi, vòi (ong, muỗi), nọc (rắn); sự châm, chích..	sting
khuấy, đảo	stir
kho sự trữ, hàng dự trữ, vốn	stock
dạ dày	stomach
đá	stone
dừng, ngừng, nghỉ, thôi; sự dừng, sự ngừng, sự đỗ lại	stop
cửa hàng, kho hàng; tích trữ, cho vào kho	store
cơn giông, bão	storm
chuyện, câu chuyện	story
bếp lò, lò sưởi	stove
thẳng, không cong	straight
sự căng thẳng, sự căng	strain
xa lạ, chưa quen	strange
lạ, xa lạ, chưa quen	strangely
người lạ	stranger
chiến lược	strategy
dòng suối	stream
phố, đườmg phố	street
sức mạnh, sức khỏe	strength
sự căng thẳng; căng thẳng, ép, làm căng	stress
bị căng thẳng, bị ép, bị căng	stressed
căng ra, duỗi ra, kéo dài ra	stretch
nghiêm khắc, chặt chẽ,, khắt khe	strict
một cách nghiêm khắc	strictly
